droga,tokens_composicion,cantidad_productos,marcas_ejemplo,conflicto_existente,atc,clases_terapeuticas
ciclosporina p/microemulsión,ciclosporina p/microemulsion,5,SANDIMMUN NEORAL,,,
"clorhexidina, asoc.",asoc. + clorhexidina,5,"MERTHIOLATE NUEVA FORMULA, PERVINOX CLORHEXIDINA ALC",,,
dabigatrán,dabigatran,5,DABIDANE,,,
desmopresina acetato,desmopresina acetato,5,"DINADOM, EMOSINT 20",,,
"fenofíbrico,ác.",ac. + fenofibrico,5,"LIPOMAX, MINUSLIP XR, SERUBEL 135",,,
hedera helix,hedera helix,5,"CEDRIC JARABE, EXPECTOSAN PEDIATRICO, TAVINEX HEDERA","atc en disputa: {'R05CB': 2, 'R05CA12': 7}",,
"ibuprofeno, clorzoxazona",clorzoxazona + ibuprofeno,5,"FLEXINA 600, IBUPIRAC FLEX 600, IBUPIRAC FLEX CAPSULAS BL","clases en disputa: {'Aparato Locomotor: Antiinflamatorios no Esteroides\nSistema Nervioso Central: Analgésicos Antitérmicos': 3, 'Aparato Locomotor: Antiinflamatorios no Esteroides\nAparato Locomotor: Relajantes Musculares': 2}",,
idarrubicina,idarrubicina,5,"IDARRUBICINA 10 DOSA, IDARRUBICINA 5 DOSA, IDARUBICINA IMA",,,
interferón beta 1 a,interferon beta 1 a,5,"AVONEX PEN, BLASTOFERON 22MCG, BLASTOFERON 44MCG",,,
interferón beta 1 a sin albumi,interferon beta 1 a sin albumi,5,"INMUNOMAS NF, REBIF NF 44 MCG, REBIF NF MULTIDOSIS 22 MC",,,
irinotecan,irinotecan,5,"IRINOTECAN GP PHARM, IRINOTECAN IMA, IRINOTECAN KEMEX","clases en disputa: {'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 6, 'Oncológicos y Terapias Relacionadas: Otros Agentes Antineoplásicos': 1}",,
lidocaína,lidocaina,5,"LIDOCAINA JALEA, LIDOCAINA SPRAY, LIDOCAINA VISCOSA","atc en disputa: {'D04AB': 5, 'N01BB02': 2, 'D04AB01': 2, 'N01BB\nN01BB02': 2} | clases en disputa: {'Piel y Mucosas: Anestésicos Tópicos': 9, 'Soluciones Parenterales-Electrolitos-Solventes: Solventes/Soluciones para Nebulizar': 2}",,
meloxicam,meloxicam,5,"FLEXIDOL, FLEXIDOL CB","clases en disputa: {'Aparato Locomotor: Antiartrósicos\nAparato Locomotor: Antiinflamatorios no Esteroides\nAparato Locomotor: Antirreumáticos Antiartríticos': 2, 'Aparato Locomotor: Antiinflamatorios no Esteroides\nAparato Locomotor: Antirreumáticos Antiartríticos': 8, 'Aparato Locomotor: Analgésico\nAparato Locomotor: Antirreumáticos Antiartríticos': 2}",,
metotrexato,metotrexato,5,"METOTREXATE TEVA, METOTREXATO KEMEX, METOTREXATO MARTIAN","clases en disputa: {'Aparato Locomotor: Antirreumáticos Antiartríticos': 12, 'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 3}",,
nitisinona,nitisinona,5,"NITINE, ORFADIN",,,
promestriene,promestriene,5,"COLPOESTRIENE, PROMECLIM",,,
rucaparib,rucaparib,5,"RUCAFAS, RUPOVAR",,,
"salbutamol, ipratropio,br.",br. + ipratropio + salbutamol,5,"IPRASALB, MAXAIR, SALBUTRAL AC",,,
"salicílico,ác., láctico,ác.",ac. + lactico + salicilico,5,"CALLICIDA EL MONJE NEGRO, VERRUDERM PLUS, VERRUTOPIC",,,
zidovudina,zidovudina,5,"ZETROTAX RICHMOND, ZIDOVUDINA FILAXIS",,,
abemaciclib,abemaciclib,4,VERZENIO,,,
"acetilsalicílico,ác., cafeína",ac. + acetilsalicilico + cafeina,4,"ALIKAL LIMON, ALIKAL NARANJA",,,
"alverina, simeticona",alverina + simeticona,4,"FACTOR AG PLUS, METEOSPASMYL","clases en disputa: {'Aparato Digestivo: Antiflatulentos\nAparato Digestivo: Procinéticos Gastrointestinales': 4, 'Aparato Digestivo: Antiespasmódicos Anticolinérgicos\nAparato Digestivo: Antiflatulentos': 3}",,
"amoxicilina, ambroxol",ambroxol + amoxicilina,4,"GRINSIL RESPIRATORIO DUO750/15 mg, GRINSIL RESPIRATORIO DUO875/60 mg, GRINSIL RESPIRATORIO NF",,,
"amoxicilina, diclofenac",amoxicilina + diclofenac,4,RODINAC BIOTIC,,,
"amoxicilina, sulbactam",amoxicilina + sulbactam,4,"TRIFAMOX IBL, TRIFAMOX IBL DUO",,,
antígeno hepatitis b,antigeno hepatitis b,4,"AG-B 10, AG-B 20, BIOVAC HB",,,
"betametasona, salicílico,ác.",ac. + betametasona + salicilico,4,"BETASALIC, SALICORT, SALICORT CAPILAR",,,
"calcio,carbonato, vit.d3",calcio + carbonato + vit.d3,4,"CALCIO BASE DUPOMAR D3 20, CALCIO BASE DUPOMAR D3 40",,,
carbón activado,carbon activado,4,"CARBON BELLOC, MAMOGRAF",,,
cassia angustifolia,cassia angustifolia,4,"CIRUELAX FORTE, CIRUELAX MINITABS, LAXIRUELA MINITABS",,,
"cistina, asoc.",asoc. + cistina,4,"CISTINA-B6 SZAMA, MEGACISTIN, MEGAPLUS",,,
clofarabina,clofarabina,4,"CISTADINE, CLOFICRIS, LUVUDEN",,,
clorpromazina,clorpromazina,4,"CLORPROMAZINA CEVALLOS, CLORPROMAZINA DUNCAN",,,
crizotinib,crizotinib,4,"TIRIMIT, XALKORI 200, XALKORI 250",,,
"cynara scolymus, asoc.",asoc. + cynara scolymus,4,"BAGOHEPAT, BAGOHEPAT RAPIDA ACCION",,,
dobesilato cálcico,dobesilato calcico,4,"DOXIUM, EFLEVAR",,,
emicizumab,emicizumab,4,HEMLIBRA,,,
epirubicina,epirubicina,4,"CRISABON, CUATROEPI, EPIRUBICINA IMA",,,
factor viii,factor viii,4,"EMOCLOT, OCTANATE","atc en disputa: {'B02BD02': 4, 'B02BD\nB02BD02': 1, 'B02BD06': 2}",,
"factor viii, fact.von willebra",fact.von willebra + factor viii,4,"FANHDI, WILATE",,,
"famotidina, calcio,carbon., as",as + calcio + carbon. + famotidina,4,"ACTUAL, TAURAL F MAX",,,
"fibra, asoc.",asoc. + fibra,4,"CIRUELAX JALEA, LAXIRUELA FIBRA",,,
"fluticasona,furoato, vilantero",fluticasona + furoato + vilantero,4,"ALVETIDE, RELVAR ELLIPTA",,,
fondaparinux,fondaparinux,4,ARIXTRA,,,
fulvestrant,fulvestrant,4,"ALSEL, FAVESAN, FULL V","clases en disputa: {'Oncológicos y Terapias Relacionadas: Antiestrogénicos': 4, 'Oncológicos y Terapias Relacionadas: Antiandrógenos': 1}",,
"fusídico,ác., betametasona",ac. + betametasona + fusidico,4,"ACIFUSIN B, DRUM Á, FUSIMED B",,,
gentamicina,gentamicina,4,"GENTADERM, GENTAMICINA (COMO SULFATO, GENTUM",,,
"ginseng, vit., minerales",ginseng + minerales + vit.,4,"MARATHON, PHARMATON NF",,,
heparina sódica,heparina sodica,4,"CYCLOPARIN, HEPARINA DUNCAN, RIVEPARIN-HEPARINA RIVERO",,,
"hierro, vit.b12, fólico,ác.",ac. + folico + hierro + vit.b12,4,"ACIFOL FE, FOLFIRIMOX",,,
insulina lispro,insulina lispro,4,"INSULINA HUMALOG, INSULINA HUMALOG KWIKPEN, INSULINA HUMALOG KWIKPENL",,,
mavacamten,mavacamten,4,CAMZYOS,,,
"meglumina,diatrizoato, asoc.",asoc. + diatrizoato + meglumina,4,"TEMISTAC, TRIYOSOM 76 M, TRIYOSOM GI",,,
melfalano,melfalano,4,"ERIOLAN, FRIMIRT, MELFOMA",,,
micofenolato mofetil,micofenolato mofetil,4,"MMF SANDOZ, SUPRIMUN",,,
midostaurina,midostaurina,4,"RYDAPT, TAUQUINA",,,
misoprostol,misoprostol,4,"MISOP 200, MISOPROST 200 BETA",,,
niraparib,niraparib,4,ZEJULA,,,
nirsevimab,nirsevimab,4,BEYFORTUS,,,
omalizumab,omalizumab,4,XOLAIR,,,
"paracetamol, ibuprofeno",ibuprofeno + paracetamol,4,"DUOMAX, GENIOL FLEX, TAFIROL DUO",,,
prasterona,prasterona,4,"DHEA FEM, FEMTERONA",,,
"pridinol,mesilato",mesilato + pridinol,4,"RELAXEDAN, RODI RELAX",,,
sarilumab,sarilumab,4,KEVZARA,,,
secukinumab,secukinumab,4,COSENTYX,,,
"tramadol, dexketoprofeno",dexketoprofeno + tramadol,4,"CALMADOR DEX, ENANTYUM FORTE, TACRAF PLUS",,,
"tretinoína, asoc.",asoc. + tretinoina,4,HIDROSAM T,,,
tucatinib,tucatinib,4,"MAMASISTIN, TUKYSA",,,
urea,urea,4,"FACTOR AE UREA, KERATOPIC 40, XEROBASE",,,
vilazodona clorh.,vilazodona clorh.,4,"VISDON 10, VISDON 20, VISDON 40",,,
viscum album l,viscum album l,4,ABNOBA VISCUM FRAXINI,,,
"zinc,undecilenato, asoc.",asoc. + undecilenato + zinc,4,"DERMAX VX, FARM-X CREMA, FARM-X POLVO",,,
ziprasidona,ziprasidona,4,ZELDOX,,,
"acetilsalic.,ác, atorvastatín,",ac + acetilsalic. + atorvastatin,3,OMNIPIL,,,
"acetilsalicílico,ác., asoc.",ac. + acetilsalicilico + asoc.,3,"FALGOS, FALGOS  EXPENDEDOR X 25 B, TAFIROL RESACA",,,
alb£mina humana,alb£mina humana,3,"ALBUNORM, ALBUTEIN 20%, UMAN ALBUMIN",,,
"alcachofa, asoc.",alcachofa + asoc.,3,"CHOFITOL PLUS, DIGESTINA",,,
"alcohol diclorobencílico, asoc",alcohol diclorobencilico + asoc,3,"STREPSILS CARAMELOS, STREPSILS PLUS CARAMELOScaram.x",,,
alpelisib,alpelisib,3,PIQRAY,,,
"ambay, asoc.",ambay + asoc.,3,"PASTILLA DE AMBAY, PASTILLA DE AMBAY SABOR M",,,
"aminoácidos, vit.b6",aminoacidos + vit.b6,3,"RED NEURAL COMPRIMIDOS, RED NEURAL GRANULADO",,,
"bempedoico ác., ezetimibe",bempedoico ac. + ezetimibe,3,"BEMPEZET, BRIMEPIL EZ 180/10",,,
bifonazol,bifonazol,3,"ANTIMICOTICO LAURIA U¥AS, MICOSOL",,,
busulfano,busulfano,3,"BUSILVEX, BUSULFAN VARIFARMA, BUSULTEK",,,
ciclopiroxolamina,ciclopiroxolamina,3,MICOPIROX,,,
clonixinato lisina,clonixinato lisina,3,"CLONIXINATO DE LISINA LARA.X 100 X, DORIXINA VL",,,
"clortalidona, valsartán",clortalidona + valsartan,3,HIPREX DUO,,,
dabrafenib,dabrafenib,3,TAFINLAR,,,
dacarbazina,dacarbazina,3,"DACARBAZINA KEMEX, DACARBAZINA VARIFARMA, ONCOCARBIL 200",,,
darifenacina,darifenacina,3,"DARIFIN 15, DARINAX 15, DARINAX 7.5","clases en disputa: {'Aparato Genito-Urinario: Antiespasmódicos Antiinflamatorios': 4, 'Aparato Genito-Urinario: Tratamiento de la Vejiga Hiperactiva': 3}",,
"dehidrocólico,ác., asoc.",ac. + asoc. + dehidrocolico,3,BIL 13,,,
"diclofenac sodico, tramadol",diclofenac sodico + tramadol,3,NUSIRA,,,
dipirona,dipirona,3,"DIPIRONA KLONAL, DITRAL","clases en disputa: {'Aparato Locomotor: Antiinflamatorios no Esteroides\nSistema Nervioso Central: Analgésicos Antitérmicos': 14, 'Aparato Locomotor: Analgésico\nSistema Nervioso Central: Analgésicos Antitérmicos': 2}",,
"doxilamina, piridoxina",doxilamina + piridoxina,3,"EMETIC, MELOUT",,,
doxorubicina,doxorubicina,3,"DOXOKEBIR, DOXORUBICINA IMA, DOXORUBICINA KEMEX","clases en disputa: {'Oncológicos y Terapias Relacionadas: Antibióticos Antineoplásicos': 7, 'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 2}",,
edoxabán,edoxaban,3,BEXABAN,,,
"elexacaftor, tezacaftor, ivaca",elexacaftor + ivaca + tezacaftor,3,"TRIXACAR, TRIXACAR P, TRIXACAR P GRANULADO",,,
enzimas digestivas,enzimas digestivas,3,PANCREOLIPASA TECHSPHERE,,,
fibrinógeno humano,fibrinogeno humano,3,"BERIPLAST P COMBI SET, FIBRYGA",,,
finasteride,finasteride,3,"PROSTANIL, RECUFIN, RENACIDIN","atc en disputa: {'D11AX\nG04CB01': 4, 'G04CB01': 14, 'D11AX': 2, 'G04CB\nG04CB01': 1} | clases en disputa: {'Piel y Mucosas: Regeneradores Capilares Antialopécicos': 10, 'Aparato Genito-Urinario: Terapéutica Prostática': 11}",,
flumazenil,flumazenil,3,"FLUMANOVAG, FLUMAZENIL CELTYC, FLUMAZENIL RICHET",,,
"fosfato disódico, fosfato mono",fosfato disodico + fosfato mono,3,"FOSFALAX ORAL, FOSFO-DOM, SODILAXAN",,,
"ftalilsulfatiazol, asoc.",asoc. + ftalilsulfatiazol,3,"CARBOMAX, ESTREPTOCARBOCAFTIAZOL",,,
"fusídico,ác.",ac. + fusidico,3,"ACIFUSIN, FUSIMED, FUSITOP",,,
"hierro,sacarato",hierro + sacarato,3,"FERIVE, IRONCAS, SUCROX I.V. COMPLEX",,,
inmunoglobulina antihepatitis,inmunoglobulina antihepatitis,3,GAMMASUB UNC,,,
inmunoglobulina anti-rho,inmunoglobulina anti-rho,3,"IMMUNORHO, KAMRHO D",,,
"ins.lispro, ins.lispro protami",ins.lispro + ins.lispro protami,3,"INSULINA HUMALOG MIX 25, INSULINA HUMALOG MIX 25 KL, INSULINA HUMALOG MIX 50 KL",,,
interferón alfa 2 b,interferon alfa 2 b,3,BIOFERON,,,
"isosorbide,mononitrato",isosorbide + mononitrato,3,"ISOSORBIDE 5 MONONITRATO, MEDOCOR AP",,,
lactasa,lactasa,3,LACTAS,,,
larotrectinib,larotrectinib,3,VITRAKVI,,,
lisdexanfetamina,lisdexanfetamina,3,LUDOXA,,,
"miconazol, metronidazol, asoc.",asoc. + metronidazol + miconazol,3,"MACRIL OVULOS, SEPTIGYN",,,
migalastat,migalastat,3,"GALAFOLD, LACTOREL, RELIDAS",,,
momelotinib,momelotinib,3,OMJJARA,,,
moxifloxacina,moxifloxacina,3,"AVELOX I.V., MOFLAG, MOXIBASE","clases en disputa: {'Oftálmicos: Antiinfecciosos': 3, 'Antiinfecciosos de Uso Sistémico: Antibióticos: Quinolonas': 1}",,
mupirocina,mupirocina,3,"MUPICIL, MUPIDERM, QUEMICETINA NF NASAL","clases en disputa: {'Piel y Mucosas: Antibacterianos Tópicos': 8, 'Otorrinolaringológicos: Antibióticos de Uso Nasal': 1}",,
neratinib,neratinib,3,"CANITIB, NERLYNX, NIANEB",,,
oximetazolina,oximetazolina,3,"ALLERHIT, OXILER D, RUBOX","atc en disputa: {'S01GA04': 2, 'R01AA05': 3} | clases en disputa: {'Oftálmicos: Descongestivos': 2, 'Otorrinolaringológicos: Descongestivos Nasales Antialérgicos': 3}",,
pemigatinib,pemigatinib,3,PEMAZYRE,,,
"pertuzumab, trastuzumab",pertuzumab + trastuzumab,3,"PERJETA - HERCEPTIN IV COK, PHESGO",,,
"pinaverio,bromuro",bromuro + pinaverio,3,NULITE,,,
piroxicam,piroxicam,3,"PIROXICAM DUPOMAR, PIROXICAM VANNIER","atc en disputa: {'M02AA07': 3, 'M01AC01': 2} | clases en disputa: {'Piel y Mucosas: Antiinflamatorios Analgésicos Tópicos': 3, 'Aparato Locomotor: Antiinflamatorios no Esteroides\nSistema Nervioso Central: Analgésicos Antitérmicos': 1, 'Aparato Locomotor: Antiinflamatorios no Esteroides\nAparato Locomotor: Antirreumáticos Antiartríticos': 1}",,
"piroxicam, carisoprodol, asoc.",asoc. + carisoprodol + piroxicam,3,"FLEXICAMIN A, FLEXICAMIN B12",,,
precursores fibrina humana,precursores fibrina humana,3,TISEEL LYO,,,
prometazina,prometazina,3,"PROMETAZINA VANNIER, ROSTAZINA",,,
risankizumab,risankizumab,3,SKYRIZI,,,
"ritonavir, lopinavir",lopinavir + ritonavir,3,KALETRA,,,
roxadustat,roxadustat,3,VADROX,,,
rufinamida,rufinamida,3,SAIKEL,,,
"salicílico,ác.",ac. + salicilico,3,"VERRUDERM, VERRUPLANT, VERRUTOPIC AS",,,
sofosbuvir,sofosbuvir,3,"ANISOVIR, EVALDIX, FERASIN","clases en disputa: {'Antiinfecciosos de Uso Sistémico: Antivirales': 2, 'Aparato Circulatorio: Antiarrítmicos\nAparato Circulatorio: Antihipertensivos': 1}",,
somapacitán,somapacitan,3,SOGROYA,,,
sotatercept,sotatercept,3,WINREVAIR,,,
sugammadex,sugammadex,3,"FINATREX, SUGAMMADEX KLONAL, SUGAMMADEX RICHET",,,
teriparatida,teriparatida,3,"FORTEO, OSTEOFORTIL, OSTEOFORTIL PEN",,,
"tióctico,ác.",ac. + tioctico,3,"BILETAN FORTE 200, NEUROLAZ, TIONEUROL 600",,,
tioridazina,tioridazina,3,MELERIL,,,
tiotepa,tiotepa,3,"TEPADINA, TIOSTATERA",,,
"tranexámico,ác.",ac. + tranexamico,3,"TRANEX, TREXANET",,,
triamcinolona,triamcinolona,3,"ALLENASAL, TRIAMCINOLONA RICHET",,,
upadacitinib,upadacitinib,3,RINVOQ,,,
"valeriana, asoc.",asoc. + valeriana,3,"HERBACCION SEDANTE, MELATOL DIA RELAX",,,
valganciclovir,valganciclovir,3,"VALGANCICLOVIR SANDOZ, VALGARD, VALIXA",,,
vit.a,vit.a,3,A-VITEL,,,
"vit.a, bencetonio,cl., asoc.",asoc. + bencetonio + cl. + vit.a,3,"CLINAL, HIPOGLOS",,,
"vit.c, citroflavonoide",citroflavonoide + vit.c,3,CVP DUO,,,
"vit.e, vit.a, asoc.",asoc. + vit.a + vit.e,3,TANVIMIL EBA,,,
vitis vinífera,vitis vinifera,3,"MIKONOS, MIKONOS FORTE",,,
"zinc,óxido, asoc.",asoc. + oxido + zinc,3,"ANTIHEMORROIDAL GEZZI PLU, MACODERM",,,
abrocitinib,abrocitinib,2,CIBINQO,,,
aceite de salmón,aceite de salmon,2,REGULIP,,,
acenocumarol,acenocumarol,2,"ACENOCOUMAROL ROSPAW, AZECAR","atc en disputa: {'B01AA07': 4, 'B01AF01': 3}",,
"acetilsalicílico,ác., vit.c",ac. + acetilsalicilico + vit.c,2,BAYASPIRINA C LIMON 240 M,,,
acth,acth,2,ACTHEL,,,
"alcanfor, asoc.",alcanfor + asoc.,2,REUMOL DESINFLAMANTE,,,
alirocumab,alirocumab,2,PRALUENT,,,
"ambroxol, butetamato",ambroxol + butetamato,2,"MUCOPREDNIBRON, TAVINEX EXPECTORANTE FORT",,,
"aminoácidos, asoc.",aminoacidos + asoc.,2,NUTRIFLEX OMEGA ESPECIAL,,,
anfotericina b liposomal,anfotericina b liposomal,2,"ANFONAX, ANFOTAR LIPOSOMAL",,,
antigeno virus sincicial resp.,antigeno virus sincicial resp.,2,"ABRYSVO, AREXVY",,,
apomorfina,apomorfina,2,"APOKINON, APOKINON STYLO",,,
asciminib,asciminib,2,SCEMBLIX,,,
atogepant,atogepant,2,AQUIPTA,,,
"atracurio,besilato",atracurio + besilato,2,ATRACURIO,,,
baricitinib,baricitinib,2,OLUMIANT,,,
"benzalconio,cloruro, asoc.",asoc. + benzalconio + cloruro,2,MERTHIOLATE ANESTESICO,,,
"benzocaína, asoc.",asoc. + benzocaina,2,"CARAMELOS FECOFAR FREE PL, NEUMOBRON CARAMELOS",,,
betametasona (acet.y fosf.diso,betametasona (acet.y fosf.diso,2,"BETASONE G RETARD, BUTASONA FABRA RL",,,
betametasona (acet.y fosf.diso corteroid retard,betametasona (acet.y fosf.diso corteroid retard,2,INY.F.A.X 1 X,,,
"betametasona, gentamic., miconfactor dermico",betametasona + gentamic. + miconfactor dermico,2,POMO X,,,
bismuto subcitrato,bismuto subcitrato,2,HELICOTRAT,,,
"bisoprolol, hidroclorotiazida",bisoprolol + hidroclorotiazida,2,"CARDIPLEN D, MOINEL D","atc en disputa: {'C03AX': 3, 'C07BB07': 4}",,
"budesonida, glicopirronio, for",budesonida + for + glicopirronio,2,BREZTRI AEROSPHERE,,,
cabergolina,cabergolina,2,CABERTRIX,"clases en disputa: {'Hormonoterápicos: Inhibidores de la Prolactina': 4, 'Sistema Nervioso Central: Antiparkinsonianos': 3}",,
cabotegravir,cabotegravir,2,VOCABRIA,,,
calcio,calcio,2,"CALCIO BASE DUPOMAR FORTE, CALCIO BASE VENT-3",,,
"calcio,carbonato",calcio + carbonato,2,"CALCIO BASE VANNIER, PLUSCAL MOUSSE VAINILLA","clases en disputa: {'Nutrición: Suplementos Dietarios': 2, 'Metabolismo: Metabolismo Oseo\nNutrición: Minerales': 2}",,
"calcio,citrato, vit.d3",calcio + citrato + vit.d3,2,CALCIMAX D3 400,,,
"calcipotriol, betametasona,dip",betametasona + calcipotriol + dip,2,"BETRIOL B, PSORI-BET",,,
"candesartán, hidroclorotiazida",candesartan + hidroclorotiazida,2,ATACAND D,,,
capivasertib,capivasertib,2,TRUQAP,,,
"carvedilol, hidroclorotiazida",carvedilol + hidroclorotiazida,2,CARVEDIL D,"clases en disputa: {'Aparato Circulatorio: Antihipertensivos\nAparato Circulatorio: Diuréticos': 18, 'Aparato Circulatorio: Antianginosos\nAparato Circulatorio: Antihipertensivos\nAparato Genito-Urinario: Diuréticos': 12}",,
"cáscara sagrada, aloe",aloe + cascara sagrada,2,CASCARA SAGRADA + ALOE IN,,,
"castaño de indias, asoc.",asoc. + castano de indias,2,CASTA¥A DE INDIA S.C.,,,
"ceftazidima, avibactam",avibactam + ceftazidima,2,"CEFTAAVI, CEFTAZIDIMA + AVIBACTAM R",,,
ciclosporina,ciclosporina,2,"CIPOS 0.1, INMUNOSPORIN 0.1%","clases en disputa: {'Inmunoterápicos: Inmunosupresores': 1, 'Oftálmicos: Antiinflamatorios Antialérgicos': 1, 'Oftálmicos: Tratamiento de la Queratoconjuntivitis': 1}",,
"ciproflox., hidrocort., lidoca",ciproflox. + hidrocort. + lidoca,2,"OTEX L, OTIKIT L",,,
clobazam,clobazam,2,ERIPAL,"atc en disputa: {'N05BA': 2, 'N05BA09': 2}",,
"colagenasa, cloranfenicol, aso iruxol",aso iruxol + cloranfenicol + colagenasa,2,UNG.X,,,
colistina metansulfonato,colistina metansulfonato,2,"ESPIROTECH INHALATORIO, ESPIROTECH INYECTABLE",,,
daunorubicina (daunomicina),daunorubicina (daunomicina),2,"DAUNORUBICINA KEMEX, MAXIDAUNO",,,
"decametrina, piperonilbutóxido",decametrina + piperonilbutoxido,2,HEXA DEFITAL N.F.,,,
"dexametasona, neomicina, asoc.dexalergin",asoc.dexalergin + dexametasona + neomicina,2,GTS.X,,,
"dexametasona, neomicina, asoc.proetztotal",asoc.proetztotal + dexametasona + neomicina,2,SOL.P/NEBULIZAR X,,,
"dexametasona, neomicina, asoc.isoptomax",asoc.isoptomax + dexametasona + neomicina,2,"SUSP.OFT.X, UNG.OFT.X",,,
dexibuprofeno,dexibuprofeno,2,CEFALEX VL,,,
"diacereína, sulf.",diacereina + sulf.,2,"GLUCOSAMINA P ARTRODAR GLUCO, GLUCOSAMINA P MECANYL COMPLEX",,,
"diclofenac potásico, asoc.",asoc. + diclofenac potasico,2,DICLOGESIC PLUS B12,,,
"diclofenac potásico, betametasona",betametasona + diclofenac potasico,2,RODINAC CORT,,,
"diclofenac sódico, omeprazol",diclofenac sodico + omeprazol,2,DIOXAFLEX PROTECT,,,
"diclofenac, vit.b,complejo",complejo + diclofenac + vit.b,2,"DIOXAFLEX COMPLEX, DOLO NERVOBION 10000 NF",,,
"difenhidramina, alcanfor, asoc",alcanfor + asoc + difenhidramina,2,PRURISEDAN,,,
diosmina,diosmina,2,FLEBOTROPIN 300,"clases en disputa: {'Aparato Circulatorio: Antivaricosos Flebotónicos': 7, 'Piel y Mucosas: Flebotónicos Antivaricosos': 2}",,
"dolutegravir, abacavir, lamivu",abacavir + dolutegravir + lamivu,2,"DRIVELEA, ZEVUVIR ABC PACK",,,
dorzolamida,dorzolamida,2,"DORLAMIDA, TRUSOPT",,,
"dorzolamida, timolol, brimonid",brimonid + dorzolamida + timolol,2,"XEGREX, XEGREX LC",,,
doxazosina,doxazosina,2,CARDURA,,,
dulaglutida,dulaglutida,2,TRULICITY,,,
dupilumab,dupilumab,2,DUPIXENT,,,
eculizumab,eculizumab,2,"BEKEMV, ELIZARIA",,,
eliglustat,eliglustat,2,"DEYGLUX, ELIGLAS",,,
elranatamab,elranatamab,2,ELREXFIO,,,
encorafenib,encorafenib,2,BRAFTOVI,,,
enfortumab vedotina,enfortumab vedotina,2,PADCEV,,,
entacapone,entacapone,2,COMTAN,,,
entrectinib,entrectinib,2,ROZLYTREK,,,
epcoritamab,epcoritamab,2,EPKINLY,,,
erenumab,erenumab,2,AIMOVIG,,,
escina(extr.cast.de indias),escina(extr.cast.de indias),2,NADEM FORTE,,,
esketamina,esketamina,2,SPRAVATO,,,
estiripentol,estiripentol,2,DIACOMIT,,,
etelcalcetida,etelcalcetida,2,PARSABIV,,,
"etoricoxib, paracetamolblokium cox gesic",etoricoxib + paracetamolblokium cox gesic,2,,,,
factores de coagulación,factores de coagulacion,2,"OCTAPLEX, UMAN COMPLEX",,,
fedratinib,fedratinib,2,"BURICAS, INREBIC",,,
finerenona,finerenona,2,FIRIALTA,,,
"floroglucinol, trimetoxibencen",floroglucinol + trimetoxibencen,2,"NERO, NERO 40",,,
"fluticasona,furoato, umeclidin",fluticasona + furoato + umeclidin,2,TRELEGY ELLIPTA,,,
"fólico,ác., vit.b",ac. + folico + vit.b,2,ACIFOL B12,,,
"fosfolípidos, asoc.",asoc. + fosfolipidos,2,SURVANTA,,,
fostamatinib,fostamatinib,2,FOSTAX,,,
fruquintinib,fruquintinib,2,FRUZAQLA,,,
"fsh, lh",fsh + lh,2,PERGOVERIS PEN,,,
"gammaglobulina humana, histamina",gammaglobulina humana + histamina,2,"HISTAGLOBIN, HISTAGLOBIN TRIPLEX",,,
gilteritinib,gilteritinib,2,"GILTETIR, XOSPATA",,,
"glicólico,ác., hidroquinona",ac. + glicolico + hidroquinona,2,"NEOQUIN, NEOQUIN FORTE",,,
glofitamab,glofitamab,2,COLUMVI,,,
"gramicidina, neomicina, asoc.",asoc. + gramicidina + neomicina,2,"COLLUBIAZOL N, EXPECTOSAN GARGANTA",,,
guaifenesina,guaifenesina,2,"PLENUM, VICKMIEL",,,
"guaifenisina, asoc.",asoc. + guaifenisina,2,"PECHOVIT ADULTO, PECHOVIT INFANTIL",,,
hialuronato sódico,hialuronato sodico,2,"CRUZAL 40, DROPSTAR LC",,,
"hidroquinona, asoc.",asoc. + hidroquinona,2,"DERMOBLANC, MELASMAX",,,
hierbas medicinales,hierbas medicinales,2,"NOVOAXIN, REJUVEL",,,
"hierro, fólico,ác.",ac. + folico + hierro,2,"FERROGALFOL, HIERRO RICHET",,,
icatibant,icatibant,2,"EIBANTA, FIRAZYR 30 MG",,,
idelalisib,idelalisib,2,IDELIB,,,
indacaterol,indacaterol,2,ONBRIZE BREEZHALER,,,
"ins.glargina, lixisenatida",ins.glargina + lixisenatida,2,"SOLIQUA 10-40, SOLIQUA 30-60",,,
insulina degludec,insulina degludec,2,INSULINA TRESIBA FLEXTOUC,,,
insulina humana isofana,insulina humana isofana,2,"BIOINSUGEN N, DENSULIN ISOFANA",,,
iohexol,iohexol,2,OMNIPAQUE,,,
irbesartán,irbesartan,2,"APROVEL 150, APROVEL 300",,,
isatuximab,isatuximab,2,SARCLISA,,,
ketoprofeno,ketoprofeno,2,SALICREM DESINFLAMANTE,,,
lanreótido,lanreotido,2,"SOMATULINE AUTO GEL, SOMATULINE AUTOGEL",,,
"levocetirizina, betametasona",betametasona + levocetirizina,2,SUPRALER CORT,,,
