droga,tokens_composicion,cantidad_productos,marcas_ejemplo,conflicto_existente,atc,clases_terapeuticas
"losartán, hidroclorotiazida",hidroclorotiazida + losartan,9,"LOCTENK D 100, PRESIMAX D, PRISONIL D","clases en disputa: {'Aparato Circulatorio: Antihipertensivos\nAparato Genito-Urinario: Diuréticos': 21, 'Aparato Circulatorio: Antihipertensivos\nAparato Circulatorio: Vasorreguladores': 1}",,
minoxidil,minoxidil,9,"ANAGEN 5%, CAPILEX, COMBINATER","atc en disputa: {'D11AX': 3, 'D11AX01': 5} | clases en disputa: {'Aparato Circulatorio: Antihipertensivos': 3, 'Piel y Mucosas: Regeneradores Capilares Antialopécicos': 5}",,
"retinoico,ác.",ac. + retinoico,9,"A ACIDO, A ACIDO EMOLIENTE, A ACIDO VITAL",,,
simvastatin,simvastatin,9,"GEMISTATIN 10, GEMISTATIN 20, REDUSTEROL",,,
"sodio,divalproato",divalproato + sodio,9,"DIVALPREX ER, EXIBRAL, FLAXVAN 500",,,
vinorelbine,vinorelbine,9,"NAVELBINE, NAVELBINE ORAL, VINKEBIR",,,
"zoledrónico,ác.",ac. + zoledronico,9,"ACIDO ZOLEDRONICO IMA, ACLASTA, DREICO",,,
"acetilsalicílico,ác.",ac. + acetilsalicilico,8,"ASPIRINA 100 VENT-3, ASPIRINA 500 VENT-3, ASPIRINA CARDIO VENT-3",,,
drospirenona,drospirenona,8,"FUCSIA SIN ESTROGENOS, IFENIL FREE, ISIS FREE SIN ESTROGENOS",,,
"empagliflozina, metformina clorhidrato",empagliflozina + metformina clorhidrato,8,"EMPAX  MET, SAGLOX MET",,,
factor viii de coagulación recombinante,factor viii de coagulacion recombinante,8,"KOVALTRY, NOVOEIGHT 1000UI, NOVOEIGHT 500UI",,,
"glimepiride, metformina",glimepiride + metformina,8,"ENDIAL MET 2, ENDIAL MET 4, GLEMAZ MET 2/1000",,,
hidrocortisona,hidrocortisona,8,"ALFACORT, DEMACORT, HIDROTISONA","clases en disputa: {'Piel y Mucosas: Antialérgicos Tópicos Antipruriginosos': 12, 'Hormonoterápicos: Corticoesteroides': 3}",,
"ibandrónico,ác.",ac. + ibandronico,8,"ADROMUX, BONVIVA, IDENA",,,
lenvatinib,lenvatinib,8,"LENVATIB, LENVATINIB ECZANE, LODATIR",,,
